21_JUMP_STREET.srt 	21_JUMP_STREET_DVS92 	00:12:00,00 --> 00:12:07,50 	an older african-american police officer wearing a badge on one hip
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS439 	01:22:06,00 --> 01:22:13,50 	later, she wears her own clothes as she slams the suite's door.
THE_BOUNTY_HUNTER.srt 	THE_BOUNTY_HUNTER_DVS576 	01:44:03,00 --> 01:44:08,50 	in the station, someone wears handcuffs.
THE_CALL.srt 	THE_CALL_DVS929 	01:11:16,00 --> 01:11:24,50 	in the first photo, the teen girl sits in the wheelchair gurney wearing a hospital gown.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS164 	00:28:03,00 --> 00:28:07,50 	someone wears a confounded gaze.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS280 	00:43:52,00 --> 00:43:59,50 	a central photo shows a smiling someone wearing a race number on her shirt.
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS485 	01:10:24,00 --> 01:10:33,50 	wearing a sun hat and a long-sleeved shirt of sky blue,
THE_DESCENDANTS.srt 	THE_DESCENDANTS_DVS779 	01:46:23,00 --> 01:46:28,50 	she wears a pink and white lei around her neck.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS73 	00:06:21,00 --> 00:06:27,50 	outside, a woman wearing a helmet arrives on a motorcycle.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS557 	01:02:14,00 --> 01:02:21,50 	he wears his reading glasses around his chin as he studies the abutting city blocks.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS584 	01:04:37,00 --> 01:04:43,50 	she wears a tasseled leather whip at her hip.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS954 	01:45:57,00 --> 01:46:02,50 	the blurry teen wears a prep school blazer.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS987 	01:48:02,00 --> 01:48:08,50 	one shows a partially obscured figure wearing a prep school blazer.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1098 	01:55:02,00 --> 01:55:06,50 	someone locates the teen boy wearing his school blazer.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1148 	02:01:17,00 --> 02:01:22,50 	wearing his prep school blazer.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1237 	02:09:49,00 --> 02:09:58,50 	the petite young woman wears a black tank top.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1309 	02:19:32,00 --> 02:19:37,50 	the older man wears a nasal breathing tube.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS167 	01:04:45,00 --> 01:04:49,50 	someone wears a hoodie.
THE_VOW.srt 	THE_VOW_DVS54 	00:04:16,00 --> 00:04:22,50 	now he catches up with her, wearing a hip straw fedora.
THE_VOW.srt 	THE_VOW_DVS104 	00:09:58,00 --> 00:10:03,50 	now someone wears a wedding veil.
THE_VOW.srt 	THE_VOW_DVS304 	00:38:59,00 --> 00:39:07,50 	someone arrives wearing a classy, contemporary dress and a half sleeved cardigan.
THE_VOW.srt 	THE_VOW_DVS428 	00:59:55,00 --> 01:00:02,50 	someone wears a suit jacket and narrow tie worn over a crisp white shirt.
THE_VOW.srt 	THE_VOW_DVS428 	00:59:55,00 --> 01:00:02,50 	someone wears a suit jacket and narrow tie worn over a crisp white shirt.
THE_VOW.srt 	THE_VOW_DVS571 	01:19:31,00 --> 01:19:36,50 	someone wears a bitter, tearful smile.
THE_WATCH.srt 	THE_WATCH_DVS75 	00:09:55,00 --> 00:10:01,50 	now, wearing a suit, someone drives alone.
THE_WATCH.srt 	THE_WATCH_DVS84 	00:10:53,00 --> 00:11:02,50 	wearing a blue shirt with the white printed words no more murders, someone hurries onto the field and gets handed a microphone.
THE_WATCH.srt 	THE_WATCH_DVS289 	00:53:07,00 --> 00:53:13,50 	later, it wears sunglasses and a sombrero, a cigar in its mouth.
THE_WATCH.srt 	THE_WATCH_DVS563 	01:36:42,00 --> 01:36:48,50 	wearing their matching jackets, the four guys strut in our direction.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS119 	00:34:17,00 --> 00:34:25,50 	now at someone's apartment, her friend grins as someone enters the living room wearing a tight black dress.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS195 	00:46:28,00 --> 00:46:34,50 	someone pads into the kitchen wearing only pajama pants.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS437 	01:41:24,00 --> 01:41:30,50 	someone stares after the departing guy, who wears a pageboy cap.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS85 	00:14:14,00 --> 00:14:21,50 	now at his bachelor pad, someone wears a robe, boxers, and slippers.
THOR.srt 	THOR_DVS40 	00:04:36,00 --> 00:04:44,50 	separated by a few dozen yards, the leader of the warriors, a grey bearded man wearing a helmet with twisting horns,
THOR.srt 	THOR_DVS74 	00:09:36,00 --> 00:09:45,50 	for below the throne room in the heart of the palace, two guards wearing yellow capes march up a corridor with smooth stone walls.
THOR.srt 	THOR_DVS273 	00:36:37,00 --> 00:36:44,50 	back at the research lab, bare-chested someone, now wearing jeans steps out of a bathroom.
THOR.srt 	THOR_DVS358 	00:54:45,00 --> 00:54:54,50 	wearing one guard's hooded poncho, someone dashes behind a large generator as an agent stumbles upon one unconscious guard.
THOR.srt 	THOR_DVS410 	01:04:15,00 --> 01:04:20,50 	someone stares at someone, who wears a suit and tie,
THOR.srt 	THOR_DVS568 	01:28:47,00 --> 01:28:53,50 	wearing his old battle armor and red cape, someone catches someone.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS39 	00:05:23,00 --> 00:05:29,50 	indoors, someone clowns, wearing french fries like fangs.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS515 	00:57:20,00 --> 00:57:27,50 	someone wears his helmet and hockey pads over his tooth fairy uniform.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS575 	01:03:30,00 --> 01:03:37,50 	he wears his hockey pads and fairy uniform.
TRUE_GRIT.srt 	TRUE_GRIT_DVS82 	00:22:55,00 --> 00:23:01,50 	he wears jeans, a thick suede jacket, and a stetson
TRUE_GRIT.srt 	TRUE_GRIT_DVS154 	00:35:56,00 --> 00:36:02,50 	on her head, she wears her father's wide-brimmed hat which she packed with paper to make it fit.
TRUE_GRIT.srt 	TRUE_GRIT_DVS248 	00:50:54,00 --> 00:51:02,50 	it is in fact a grizzled old man wearing a bear skin with the head still attached.
TRUE_GRIT.srt 	TRUE_GRIT_DVS443 	01:28:07,00 --> 01:28:12,50 	someone wears a brooding expression.
TRUE_GRIT.srt 	TRUE_GRIT_DVS582 	01:41:08,00 --> 01:41:15,50 	now a grown woman with slim features and a severe expression, she wears her dark hair up beneath a flat-brimmed hat.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS411 	00:50:05,00 --> 00:50:15,50 	she wears a white v-neck dress.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS138 	00:24:33,00 --> 00:24:40,50 	someone eyes his rear view mirror, then glances back at someone, who wears earbuds.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS207 	00:35:44,00 --> 00:36:05,50 	the next day, someone marches up a hill wearing a black skull cap, a tool belt, and brown work boots.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS314 	00:50:52,00 --> 00:51:09,50 	wearing a suit beneath a rugged parka, he approaches with a cocky 	disdainful smirk.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS440 	01:09:03,00 --> 01:09:07,50 	someone wears a puzzled frown.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS654 	01:35:42,00 --> 01:35:50,50 	someone gets out, wearing sunglasses.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS667 	01:38:05,00 --> 01:38:11,50 	someone wears a khaki safari-style vest over his suit.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS733 	01:45:04,00 --> 01:45:10,50 	now wearing a hooded raincoat, someone walks on the dirt road.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS92 	00:08:06,00 --> 00:08:11,50 	wearing only panties, she scampers across our view.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS281 	00:40:01,00 --> 00:40:11,50 	in a flashback, someone works as a waitress, wearing a short black dress with a white apron and frilly white hat.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS374 	00:53:44,00 --> 00:53:50,50 	now in a hotel suite, someone wears a robe and gets candy from the minibar.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS444 	01:02:08,00 --> 01:02:17,50 	now wearing only boxers, someone loops the ball under his leg and makes a layup.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS445 	01:02:14,00 --> 01:02:20,50 	wearing her dress, someone struggles to match him.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS457 	01:03:19,00 --> 01:03:25,50 	later at a marina, someone wears someone's button-down shirt.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS56 	00:04:41,00 --> 00:04:48,50 	wearing spectacles, he smiles at the thin boy through a graying mustache.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS228 	00:17:24,00 --> 00:17:35,50 	wearing a black someone ensemble of bra, panties, and garter belt, she breezes past a bouncer, who follows her dutifully into the casino and shuts the door.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS564 	00:53:17,00 --> 00:53:24,50 	someone wears scaly armor as someone slams him with a piece of metal.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS694 	01:02:43,00 --> 01:02:50,50 	as someone enters the building wearing the helmet, an agent talks into a radio.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS854 	01:18:07,00 --> 01:18:13,50 	now someone wears a vest with a circular panel on its chest.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1023 	01:32:11,00 --> 01:32:21,50 	each wearing form-fitting blue-and-yellow jumpsuits, someone, someone, someone, and mystique stand side by side.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1345 	02:03:44,00 --> 02:03:49,50 	he wears a red helmet and black cape.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS90 	00:13:15,00 --> 00:13:22,50 	wearing sweatpants and a hooded sweatshirt, someone runs across a busy road.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS341 	01:06:53,00 --> 01:06:59,50 	wearing a towel around her head, someone lies with her eyes closed
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS395 	01:16:48,00 --> 01:16:53,50 	still wearing the stained dress, someone stares at him.
YOUNG_ADULT.srt 	YOUNG_ADULT_DVS412 	01:19:22,00 --> 01:19:26,50 	wearing striped boxer shorts, someone rolls on top of her.
ZOMBIELAND.srt 	ZOMBIELAND_DVS36 	00:03:27,00 --> 00:03:34,50 	zombies accost a man wearing a sandwich board that reads, the end is near.
ZOMBIELAND.srt 	ZOMBIELAND_DVS385 	00:43:55,00 --> 00:44:02,50 	wearing an indian headdress, little someone romps as feathers rain down around her.
ZOMBIELAND.srt 	ZOMBIELAND_DVS456 	00:52:41,00 --> 00:52:47,50 	someone wears a full costume.
ZOMBIELAND.srt 	ZOMBIELAND_DVS551 	01:04:44,00 --> 01:04:49,50 	he wears a double beer can sipping helmet.
ZOOKEEPER.srt 	ZOOKEEPER_DVS25 	00:03:53,00 --> 00:03:58,50 	who wears a patch over one eye.
ZOOKEEPER.srt 	ZOOKEEPER_DVS208 	00:47:04,00 --> 00:47:12,50 	someone follows, now wearing a yellow polo.
