21_JUMP_STREET.srt 	21_JUMP_STREET_DVS46 	00:04:50,00 --> 00:04:55,50 	he proudly shows his score, a c-.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS859 	01:36:17,00 --> 01:36:23,50 	its view shows a blurry image of her face washed out by light.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS880 	01:37:59,00 --> 01:38:11,50 	a view through the glass panes of his bedroom doors show him stripping off his pants.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS915 	01:41:56,00 --> 01:42:02,50 	a series of photos shows the parade then the hedestad bridge.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS981 	01:47:42,00 --> 01:47:48,50 	a newspaper photo shows gottfried at a podium.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1059 	01:52:22,00 --> 01:52:29,50 	its glass door shows a rack built for four rifles.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1150 	02:01:21,00 --> 02:01:26,50 	which shows the photo of young someone at the parade.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1154 	02:01:42,00 --> 02:01:49,50 	a monitor shows the prisoner.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1162 	02:03:56,00 --> 02:04:03,50 	two of the three angles show the someone entering the cottage through a wooden side door.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1269 	02:13:36,00 --> 02:13:43,50 	it shows someone's internet activity as she checks her email
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1331 	02:22:33,00 --> 02:22:38,50 	now a tv shows a news report.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1335 	02:23:12,00 --> 02:23:20,50 	later, at a someone, a monitor shows a news headline.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1370 	02:27:25,00 --> 02:27:30,50 	the bank official shows her the calculator.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1406 	02:31:08,00 --> 02:31:15,50 	now, a tailor unzips a garment bag and shows someone a black leather jacket.
THE_GIRL_WITH_THE_DRAGON_TATTOO.srt 	THE_GIRL_WITH_THE_DRAGON_TATTOO_DVS1410 	02:31:33,00 --> 02:31:41,50 	the card's cover shows a horse bending its neck down as a child bundled against the cold pats its head.
THE_GUILT_TRIP.srt 	THE_GUILT_TRIP_DVS27 	00:02:48,00 --> 00:02:56,50 	a receptionist shows someone into a conference room, where three executives wait around a large table.
THE_SITTER.srt 	THE_SITTER_DVS17 	00:09:05,00 --> 00:09:09,50 	upstairs the tv shows an
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS34 	00:10:15,00 --> 00:10:18,50 	it shows the group and the young women.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS99 	00:31:59,00 --> 00:32:03,50 	he shows the envelope.
THE_SOCIAL_NETWORK.srt 	THE_SOCIAL_NETWORK_DVS101 	00:32:39,00 --> 00:32:47,50 	someone shows the twins an e-mail.
THE_VOW.srt 	THE_VOW_DVS85 	00:07:15,00 --> 00:07:22,50 	someones reflection in the window shows her loving smile as she waves back.
THE_VOW.srt 	THE_VOW_DVS106 	00:10:35,00 --> 00:10:48,50 	grinning, someone shows her identical someone mnemonic menu.
THE_VOW.srt 	THE_VOW_DVS116 	00:12:03,00 --> 00:12:11,50 	a wider view shows people strolling the plaza around the 40-foot high sculpture.
THE_VOW.srt 	THE_VOW_DVS143 	00:14:53,00 --> 00:14:59,50 	wound scars barely show on the right side of her face.
THE_VOW.srt 	THE_VOW_DVS224 	00:28:33,00 --> 00:28:42,50 	someones reflections shows in a small round mirror trimmed along the bottom with photos and illustrations.
THE_VOW.srt 	THE_VOW_DVS452 	01:05:21,00 --> 01:05:30,50 	now at someone mnemonic, the front window shows someone and someone enjoying a meal and wine at a table for two.
THE_VOW.srt 	THE_VOW_DVS618 	01:24:45,00 --> 01:24:51,50 	the feline shows no interest in the food, but lets someone pick him up.
THE_VOW.srt 	THE_VOW_DVS677 	01:34:34,00 --> 01:34:42,50 	the sisters admire the mural which shows a giraffe, an elephant, and a lion balancing atop round trees.
THE_VOW.srt 	THE_VOW_DVS683 	01:35:47,00 --> 01:35:56,50 	a factory style window shows a nighttime view of a light snowfall and a car traveling the warmly lit street.
THE_VOW.srt 	THE_VOW_DVS708 	01:39:22,00 --> 01:39:28,50 	our view widens to show the glittering city scape.
THE_WATCH.srt 	THE_WATCH_DVS231 	00:42:24,00 --> 00:42:30,50 	a video still shows her kissing a boy.
THE_WATCH.srt 	THE_WATCH_DVS234 	00:42:32,00 --> 00:42:38,50 	it shows chelsea and a tall, dark-haired boy making out in a closet.
THE_WATCH.srt 	THE_WATCH_DVS286 	00:52:55,00 --> 00:53:03,50 	now, a series of photos shows the watch posing with the alien in increasingly wacky scenarios.
THE_WATCH.srt 	THE_WATCH_DVS509 	01:30:06,00 --> 01:30:13,50 	the meter shows a lessening of power and the overhead amber lights go out.
THE_WATCH.srt 	THE_WATCH_DVS534 	01:32:37,00 --> 01:32:43,50 	an aerial view shows the massive eruption of fire and smoke.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS75 	00:21:59,00 --> 00:22:03,50 	she shows the book.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS80 	00:24:47,00 --> 00:24:52,50 	she shows some catalogs.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS209 	00:52:08,00 --> 00:52:14,50 	later, he shows a photo.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS364 	01:28:35,00 --> 01:28:43,50 	on the wall behind her, a framed painting shows a boxer with both gloves raised triumphantly in the air.
THINK_LIKE_A_MAN.srt 	THINK_LIKE_A_MAN_DVS421 	01:36:57,00 --> 01:37:06,50 	now at her apartment, someone rips down her monthly calendar, which shows almost three weeks filled with red xs.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS36 	00:04:35,00 --> 00:04:42,50 	an aerial view shows him moving away from the crash as bystanders crowd closer.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS92 	00:14:54,00 --> 00:15:00,50 	someone shakes his head as the ad shows an embracing couple.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS190 	00:36:30,00 --> 00:36:36,50 	an aerial view shows the city at dawn.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS202 	00:39:39,00 --> 00:39:46,50 	a window behind her shows someone lowering to the ground on a cable.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS248 	00:45:11,00 --> 00:45:16,50 	she shows the photo of someone.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS301 	00:55:02,00 --> 00:55:09,50 	he yanks a man from the tower, grabs the flag and proudly shows it to someone.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS310 	00:57:30,00 --> 00:57:38,50 	as they kiss, a monitor in the cia surveillance room shows their glowing heat signature.
THIS_MEANS_WAR.srt 	THIS_MEANS_WAR_DVS486 	01:25:07,00 --> 01:25:14,50 	a bird's-eye-view shows the black smoke hiding the end of the unfinished roadway.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS69 	00:09:03,00 --> 00:09:07,50 	someone shows his winning.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS154 	00:19:39,00 --> 00:19:43,50 	someone shows someone a spray canister.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS260 	00:33:30,00 --> 00:33:36,50 	a few toys show in silhouette underneath his bed.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS383 	00:42:04,00 --> 00:42:09,50 	she shows the disoriented family members wandering around.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS587 	01:04:56,00 --> 01:05:01,50 	another cutout shows a child.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS592 	01:05:11,00 --> 01:05:17,50 	at the obstacle course, cutouts showing a family pop up.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS605 	01:06:05,00 --> 01:06:15,50 	he climbs up the staged window and shows a prop tooth.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS608 	01:06:24,00 --> 01:06:28,50 	someone shows a flyer for the talent show.
TOOTH_FAIRY.srt 	TOOTH_FAIRY_DVS651 	01:11:55,00 --> 01:12:01,50 	someone shows a fairy learner's permit with his photo on it.
TRUE_GRIT.srt 	TRUE_GRIT_DVS104 	00:25:35,00 --> 00:25:40,50 	he smiles cockily and shows his badge.
TRUE_GRIT.srt 	TRUE_GRIT_DVS110 	00:29:01,00 --> 00:29:08,50 	in stonehill's stables, a boy carries someone's saddle and shows her a fine young black horse.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS37 	00:04:44,00 --> 00:04:50,50 	a monitor shows rocco swigging from a wine bottle.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS40 	00:06:10,00 --> 00:06:14,50 	someone shows a photo.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS47 	00:08:10,00 --> 00:08:16,50 	a view from her living room window shows her passing outside.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS371 	00:43:55,00 --> 00:44:08,50 	over the score board, a big screen's kiss cam shows someone reclining for someone's bowed head and jerking arm motions.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS385 	00:45:59,00 --> 00:46:06,50 	now at the studio, a camera's viewfinder shows someone in a gorilla suit.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS465 	00:57:09,00 --> 00:57:20,50 	an aerial view shows the road winding over rolling wooded hills.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS496 	01:04:00,00 --> 01:04:07,50 	now an aerial view shows the la skyline.
UGLY_TRUTH.srt 	UGLY_TRUTH_DVS636 	01:28:13,00 --> 01:28:18,50 	the control room monitor shows someone and someone in the basket.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS50 	00:09:36,00 --> 00:09:42,50 	a drawing shows a man with his head flying off his sliced neck.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS71 	00:12:32,00 --> 00:12:38,50 	one shows a bald burly man with a menacing look
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS207 	00:35:44,00 --> 00:36:05,50 	someone interrupts to show him a ledger.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS297 	00:47:05,00 --> 00:47:11,50 	someone shows the sweatshirt and someone nods.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS388 	01:01:22,00 --> 01:01:30,50 	a wide view shows the high-reaching beam, its glow shifting with someone's hand movements.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS605 	01:31:39,00 --> 01:31:46,50 	he clicks to the next image, which shows him and someone sharing a kiss.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS612 	01:32:00,00 --> 01:32:06,50 	the next picture shows a black-and-white-photo print lying on a table.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS621 	01:32:28,00 --> 01:32:33,50 	the next shows someone kissing his cheek.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS628 	01:33:18,00 --> 01:33:31,50 	in the kitchen, someone's glasses show their dancing reflections.
WE_BOUGHT_A_ZOO.srt 	WE_BOUGHT_A_ZOO_DVS737 	01:45:18,00 --> 01:45:25,50 	now a rain-drenched window shows someone working leather in her room.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS91 	00:08:02,00 --> 00:08:08,50 	now a wall in her apartment shows her shadow as she undresses.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS214 	00:27:17,00 --> 00:27:26,50 	now, someone's computer shows a cartoon of a tiny mushroom-shaped penis situated on an oversized pair of balls.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS529 	01:13:59,00 --> 01:14:05,50 	at ally's, another magazine photo shows a sleek ponytail.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS570 	01:18:29,00 --> 01:18:34,50 	she shows a photo of someone and someone as teenagers.
WHATS_YOUR_NUMBER.srt 	WHATS_YOUR_NUMBER_DVS693 	01:34:42,00 --> 01:34:50,50 	a photo shows the smiling wedding party.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS287 	00:22:40,00 --> 00:22:46,50 	on a wall, a photo shows the two men with a third between them.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS423 	00:36:47,00 --> 00:36:54,50 	now a bespectacled young man shows a model of the stealth jet.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS439 	00:38:23,00 --> 00:38:29,50 	now a tv in a living room shows a news broadcast.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS502 	00:45:52,00 --> 00:45:58,50 	the clouds clear away to show her standing on a bar in a night club.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS504 	00:45:58,00 --> 00:46:02,50 	someone shows her some money.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS547 	00:51:18,00 --> 00:51:22,50 	she shows her wing.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS594 	00:55:24,00 --> 00:55:31,50 	later a view through binoculars shows a helicopter landing at the military retreat.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS661 	01:00:38,00 --> 01:00:46,50 	another vision shows the capitol building now in ruins amid a destroyed cityscape.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1093 	01:38:47,00 --> 01:38:51,50 	someone show his hands.
XMEN_FIRST_CLASS.srt 	XMEN_FIRST_CLASS_DVS1246 	01:52:12,00 --> 01:52:23,50 	framed by the metal helmet, someone's parted lips and glistening eyes show his gaze to be strangely tense and tranquil.
ZOMBIELAND.srt 	ZOMBIELAND_DVS76 	00:06:20,00 --> 00:06:26,50 	the rear view mirror shows another one in the back seat.
ZOMBIELAND.srt 	ZOMBIELAND_DVS264 	00:29:19,00 --> 00:29:25,50 	the driver's side window shows hands gripping the steering wheel.
ZOMBIELAND.srt 	ZOMBIELAND_DVS274 	00:30:08,00 --> 00:30:16,50 	as someone waits patiently in the passenger seat, the rear window shows his companion jumping giddily up and down.
ZOMBIELAND.srt 	ZOMBIELAND_DVS309 	00:34:29,00 --> 00:34:34,50 	her tight skirts shows the curves of her toned rear.
ZOOKEEPER.srt 	ZOOKEEPER_DVS40 	00:06:39,00 --> 00:06:44,50 	a heart monitor shows a flat line.
ZOOKEEPER.srt 	ZOOKEEPER_DVS437 	01:34:13,00 --> 01:34:19,50 	a small screen shows the animals singing along with the music.
